,lon,lat,k2,k3,k4,k5,k6,centroid
8553,-122.416070933,37.7612142237,[1],[0],[1],[1],[1],0.0
8554,-122.417742205,37.7618784317,[1],[0],[1],[1],[1],0.0
8555,-122.422695629,37.7921733285,[0],[1],[0],[3],[2],0.0
8556,-122.415000537,37.7620990021,[1],[0],[1],[1],[1],0.0
8557,-122.416078424,37.7620347867,[1],[0],[1],[1],[1],0.0
8558,-122.413591696,37.7638222259,[1],[0],[1],[1],[1],0.0
8559,-122.418368839,37.7874861572,[0],[1],[0],[3],[2],0.0
8560,-122.415308389,37.7653161356,[1],[0],[1],[1],[1],0.0
8561,-122.415155941,37.7636979309,[1],[0],[1],[1],[1],0.0
8562,-122.416078424,37.7620347867,[1],[0],[1],[1],[1],0.0
8563,-122.416230393,37.7636337703,[1],[0],[1],[1],[1],0.0
8564,-122.416070933,37.7612142237,[1],[0],[1],[1],[1],0.0
8565,-122.418368839,37.7874861572,[0],[1],[0],[3],[2],0.0
8566,-122.415155941,37.7636979309,[1],[0],[1],[1],[1],0.0
8567,-122.417368207,37.7905094152,[0],[1],[0],[3],[2],0.0
8568,-122.419834939,37.7863580363,[0],[1],[0],[3],[2],0.0
8569,-122.41592985,37.7604330004,[1],[0],[1],[1],[1],0.0
8570,-122.417964484,37.7586968166,[1],[0],[1],[1],[1],0.0
8571,-122.417028392,37.7603656932,[1],[0],[1],[1],[1],0.0
8572,-122.417710345,37.7842362878,[0],[1],[0],[3],[2],0.0
8573,-122.416075285,37.7844496613,[0],[1],[0],[3],[2],0.0
8574,-122.417964484,37.7586968166,[1],[0],[1],[1],[1],0.0
8575,-122.418467748,37.787965257,[0],[1],[0],[3],[2],0.0
8576,-122.420874632,37.7914943052,[0],[1],[0],[3],[2],0.0
8577,-122.418467748,37.787965257,[0],[1],[0],[3],[2],0.0
8578,-122.415348514,37.7650058494,[1],[0],[1],[1],[1],0.0
8579,-122.418753393,37.7893752668,[0],[1],[0],[3],[2],0.0
8580,-122.41764996,37.754682765,[1],[0],[1],[1],[1],0.0
8581,-122.413591696,37.7638222259,[1],[0],[1],[1],[1],0.0
8582,-122.416075285,37.7844496613,[0],[1],[0],[3],[2],0.0
8583,-122.415781282,37.7588312135,[1],[0],[1],[1],[1],0.0
8584,-122.41638971,37.7652491154,[1],[0],[1],[1],[1],0.0
8585,-122.416230393,37.7636337703,[1],[0],[1],[1],[1],0.0
8586,-122.419039119,37.7907880214,[0],[1],[0],[3],[2],0.0
8587,-122.403404791,37.7754207067,[0],[1],[0],[0],[0],0.0
8588,-122.413609329,37.7846969079,[0],[1],[0],[3],[2],0.0
8589,-122.416230393,37.7636337703,[1],[0],[1],[1],[1],0.0
8590,-122.416230393,37.7636337703,[1],[0],[1],[1],[1],0.0
8591,-122.412301187,37.7635382941,[1],[0],[1],[1],[1],0.0
8592,-122.418467748,37.787965257,[0],[1],[0],[3],[2],0.0
8593,-122.417903978,37.7851670876,[0],[1],[0],[3],[2],0.0
8594,-122.416872884,37.7587640201,[1],[0],[1],[1],[1],0.0
8595,-122.416720982,37.7571677817,[1],[0],[1],[1],[1],0.0
8596,-122.41638971,37.7652491154,[1],[0],[1],[1],[1],0.0
8597,-122.416078424,37.7620347867,[1],[0],[1],[1],[1],0.0
8598,-122.416261837,37.7853750846,[0],[1],[0],[3],[2],0.0
8599,-122.418467748,37.787965257,[0],[1],[0],[3],[2],0.0
8600,-122.420497289,37.7896188193,[0],[1],[0],[3],[2],0.0
8601,-122.41592985,37.7604330004,[1],[0],[1],[1],[1],0.0
8602,-122.414845139,37.7605000726,[1],[0],[1],[1],[1],0.0
8603,-122.416078424,37.7620347867,[1],[0],[1],[1],[1],0.0
8604,-122.41592985,37.7604330004,[1],[0],[1],[1],[1],0.0
8605,-122.416720982,37.7571677817,[1],[0],[1],[1],[1],0.0
8606,-122.418368839,37.7874861572,[0],[1],[0],[3],[2],0.0
8607,-122.413107623,37.765448018,[1],[0],[1],[1],[1],0.0
8608,-122.418368839,37.7874861572,[0],[1],[0],[3],[2],0.0
8609,-122.413601459,37.7589627679,[1],[0],[1],[1],[1],0.0
8610,-122.420691681,37.7905770711,[0],[1],[0],[3],[2],0.0
8611,-122.418467748,37.787965257,[0],[1],[0],[3],[2],0.0
8612,-122.413591696,37.7638222259,[1],[0],[1],[1],[1],0.0
8613,-122.417964484,37.7586968166,[1],[0],[1],[1],[1],0.0
8614,-122.416075285,37.7844496613,[0],[1],[0],[3],[2],0.0
8615,-122.420691681,37.7905770711,[0],[1],[0],[3],[2],0.0
8616,-122.417019321,37.7891095539,[0],[1],[0],[3],[2],0.0
8617,-122.423690269,37.7887454425,[0],[1],[0],[3],[2],0.0
8618,-122.418486297,37.7634954373,[1],[0],[1],[1],[1],0.0
8619,-122.415000537,37.7620990021,[1],[0],[1],[1],[1],0.0
8620,-122.416075285,37.7844496613,[0],[1],[0],[3],[2],0.0
8621,-122.41967178,37.7650501215,[1],[0],[1],[1],[1],0.0
8622,-122.416075285,37.7844496613,[0],[1],[0],[3],[2],0.0
8623,-122.417019321,37.7891095539,[0],[1],[0],[3],[2],0.0
8624,-122.416230393,37.7636337703,[1],[0],[1],[1],[1],0.0
8625,-122.41592985,37.7604330004,[1],[0],[1],[1],[1],0.0
8626,-122.416230393,37.7636337703,[1],[0],[1],[1],[1],0.0
8627,-122.418580509,37.7881906055,[0],[1],[0],[3],[2],0.0
8628,-122.416075285,37.7844496613,[0],[1],[0],[3],[2],0.0
8629,-122.418274172,37.7870372044,[0],[1],[0],[3],[2],0.0
8630,-122.419930112,37.7868262082,[0],[1],[0],[3],[2],0.0
8631,-122.416075285,37.7844496613,[0],[1],[0],[3],[2],0.0
8632,-122.403404791,37.7754207067,[0],[1],[0],[0],[0],0.0
8633,-122.416075285,37.7844496613,[0],[1],[0],[3],[2],0.0
8634,-122.420307356,37.7886989511,[0],[1],[0],[3],[2],0.0
8635,-122.416230393,37.7636337703,[1],[0],[1],[1],[1],0.0
8636,-122.421949488,37.7884881521,[0],[1],[0],[3],[2],0.0
8637,-122.403404791,37.7754207067,[0],[1],[0],[0],[0],0.0
8638,-122.420691681,37.7905770711,[0],[1],[0],[3],[2],0.0
8639,-122.426995327,37.8008726328,[0],[1],[0],[3],[2],0.0
8640,-122.414033253,37.7621586646,[1],[0],[1],[1],[1],0.0
8641,-122.416075285,37.7844496613,[0],[1],[0],[3],[2],0.0
8642,-122.414544669,37.7572992974,[1],[0],[1],[1],[1],0.0
8643,-122.418368839,37.7874861572,[0],[1],[0],[3],[2],0.0
8644,-122.41592985,37.7604330004,[1],[0],[1],[1],[1],0.0
8645,-122.419515708,37.7634292329,[1],[0],[1],[1],[1],0.0
8646,-122.416230393,37.7636337703,[1],[0],[1],[1],[1],0.0
8647,-122.416230393,37.7636337703,[1],[0],[1],[1],[1],0.0
8648,-122.416075285,37.7844496613,[0],[1],[0],[3],[2],0.0
8649,-122.417802963,37.7562822237,[1],[0],[1],[1],[1],0.0
8650,-122.420497289,37.7896188192,[0],[1],[0],[3],[2],0.0
8651,-122.422431724,37.7949745671,[0],[1],[0],[3],[2],0.0
8652,-122.421395819,37.7856843389,[0],[1],[0],[3],[2],0.0
8653,-122.41868792,37.7642753857,[1],[0],[1],[1],[1],0.0
8654,-122.41638971,37.7652491154,[1],[0],[1],[1],[1],0.0
8655,-122.418368839,37.7874861572,[0],[1],[0],[3],[2],0.0
8656,-122.416078424,37.7620347867,[1],[0],[1],[1],[1],0.0
8657,-122.418658295,37.7889098399,[0],[1],[0],[3],[2],0.0
8658,-122.416230393,37.7636337703,[1],[0],[1],[1],[1],0.0
8659,-122.416230393,37.7636337703,[1],[0],[1],[1],[1],0.0
8660,-122.417903978,37.7851670875,[0],[1],[0],[3],[2],0.0
8661,-122.416230393,37.7636337703,[1],[0],[1],[1],[1],0.0
8662,-122.420691681,37.7905770711,[0],[1],[0],[3],[2],0.0
8663,-122.416230393,37.7636337703,[1],[0],[1],[1],[1],0.0
8664,-122.420307356,37.7886989512,[0],[1],[0],[3],[2],0.0
8665,-122.419039119,37.7907880214,[0],[1],[0],[3],[2],0.0
8666,-122.416230393,37.7636337703,[1],[0],[1],[1],[1],0.0
8667,-122.398777521,37.784754229,[0],[1],[0],[0],[0],0.0
8668,-122.419888578,37.7907353817,[0],[1],[0],[3],[2],0.0
8669,-122.416075285,37.7844496613,[0],[1],[0],[3],[2],0.0
8670,-122.396305356,37.7932572003,[0],[1],[0],[0],[0],0.0
8671,-122.403532224,37.7537998587,[1],[0],[1],[1],[1],0.0
8672,-122.416261837,37.7853750846,[0],[1],[0],[3],[2],0.0
8673,-122.416230393,37.7636337703,[1],[0],[1],[1],[1],0.0
8674,-122.415308389,37.7653161356,[1],[0],[1],[1],[1],0.0
8675,-122.41664237,37.7872450378,[0],[1],[0],[3],[2],0.0
8676,-122.420691681,37.7905770711,[0],[1],[0],[3],[2],0.0
8677,-122.41592985,37.7604330004,[1],[0],[1],[1],[1],0.0
8678,-122.415000537,37.7620990021,[1],[0],[1],[1],[1],0.0
8679,-122.421011928,37.7838226942,[0],[1],[0],[3],[2],0.0
8680,-122.420668061,37.7528920349,[1],[0],[1],[1],[1],0.0
8681,-122.421483131,37.7854421873,[0],[1],[0],[3],[2],0.0
8682,-122.41493567,37.7557215581,[1],[0],[1],[1],[1],0.0
8683,-122.416916142,37.7843944492,[0],[1],[0],[3],[2],0.0
8684,-122.418415888,37.7626869632,[1],[0],[1],[1],[1],0.0
8685,-122.416075285,37.7844496613,[0],[1],[0],[3],[2],0.0
8686,-122.416261837,37.7853750846,[0],[1],[0],[3],[2],0.0
